MatchDateSK,Team 1,Team 2,Winner,Margin,Ground,Match Date,MatchID,IsSemiFinal,IsFinal,Season_Year
20121215,Melb Stars,Hurricanes,Melb Stars,4 wickets,Melbourne,15-Dec-12,571239,0,0,2012
20121216,Syd Sixers,Scorchers,Scorchers,7 wickets,Sydney,16-Dec-12,571240,0,0,2012
20121218,Heat,Scorchers,Scorchers,9 wickets,Brisbane,18-Dec-12,571241,0,0,2012
20121219,Melb Reneg,Hurricanes,Melb Reneg,7 wickets,Melbourne (Docklands),19-Dec-12,571242,0,0,2012
20121220,Syd Thunder,Strikers,Strikers,51 runs,Sydney,20-Dec-12,571243,0,0,2012
20121221,Melb Stars,Syd Sixers,Melb Stars,21 runs,Melbourne,21-Dec-12,999999,0,0,2012
20121222,Melb Reneg,Heat,Melb Reneg,6 wickets,Melbourne (Docklands),22-Dec-12,571245,0,0,2012
20121223,Hurricanes,Syd Thunder,Hurricanes,30 runs,Hobart,23-Dec-12,999999,0,0,2012
20121223,Strikers,Syd Sixers,Strikers,9 wickets,Adelaide,23-Dec-12,571247,0,0,2012
20121226,Syd Sixers,Hurricanes,Hurricanes,7 wickets,Sydney,26-Dec-12,571248,0,0,2012
20121227,Strikers,Melb Stars,Melb Stars,8 runs,Adelaide,27-Dec-12,571249,0,0,2012
20121228,Syd Thunder,Heat,Heat,5 wickets,Sydney,28-Dec-12,571250,0,0,2012
20121229,Scorchers,Melb Reneg,Scorchers,51 runs,Perth,29-Dec-12,571251,0,0,2012
20121230,Syd Thunder,Syd Sixers,Syd Sixers,4 wickets,Sydney,30-Dec-12,571252,0,0,2012
20130101,Hurricanes,Scorchers,Hurricanes,6 wickets,Hobart,1-Jan-13,999999,0,0,2012
20130102,Melb Reneg,Strikers,Melb Reneg,48 runs,Melbourne (Docklands),2-Jan-13,571254,0,0,2012
20130103,Heat,Melb Stars,Heat,24 runs,Brisbane,3-Jan-13,999999,0,0,2012
